Accession Number,herbarium,species.label,modifier,my.species,Authorship Ref Species author::Species Author,province.state,collector,location,habitat,Geo_LatDegree,Geo_LongDegree,Geo_Source,mapped,certainty 0-3,Altitude from sheet,altitude.units,max elevation,altitude.corrected,Date,Entire plant,corolla width,spur length,spur reflexion,blade length,blade width,blade cleft,sepal length,sepal width,anther exsertion,sepal.color.0.4,Fls/infl,Petal midpoint diameter,Height cm,term lflt length cm,term lflt width cm,num bsl lvs,comments,changes
73207,MONTU,flavescens,,,,Montana,Klaus H. Lackschewitz,"Choteau Mtn., East Front Mountains.",Increasingly common on W-slope from elev. 7500' downward.,47.933563,-112.712822,USGS-website,,,,,,2363,,,1.78,1.47,,0.46,0.86,0,1.83,0.64,0.66,,,,,,,,,
375077,WTU,formosa,,,,Washington,Jessie Johanson,"Kittitas Country, Wenatchee National Forest, Esmeralda Basin Trail","open areas, rocky outcroppings and dry creek bed. Stream on east side of opening",47.444134,-120.942836,specimen label,,,,,,1425,,,1.24,2.17,,0.2,0.36,0,2.25,0.52,1.27,,,,,,,,,
374959,WTU,formosa,,,,Washington,Cole Brooking,"Kittitas County, Wenatchee National Forest, Upper Naneum Meadow","Moist narrw meadow with stream running in middle, scattered in dry creek bed           ",47.323653,-120.52629,specimen label,,,,,,1711,,,1.57,1.63,,0.27,0.45,0,2.48,1.03,0.81,,,,,,,,,
375266,WTU,formosa,,,,Washington,Robert Goff,"Kittitas County, Blewett Pass","forested, shady, level. Near stream. Scattered",47.330373,-120.675424,specimen label,,,,,,1000,8-Jul-06,,0.95,1.71,,0.14,0.23,1,1.51,0.55,1.11,3,,,,,,,,
116056,WTU,formosa,,,,Washington,J. S. Cotton,"Kittitas County, Wenatchee Mountains",in moist shady places,47.41304,-120.81497,GeoLocate,,,,,,1615,1-Jul-03,,1.34,1.24,,0.31,0.49,0,1.61,0.44,1,3,,,,,,,,
293155,WTU,formosa,,,,Washington,Douglas K. Pike,"Clallam Co., W ridge above Gladys Lk., Grand Valley, Olympic National Park","rocky tallus, E aspect",47.87694,-123.35667,GeoLocate,,,,,,1707,7-Jul-78,,1.23,1.32,,0.23,0.39,0,2.42,0.71,1.12,3,,,,,,,,
349286,WTU,formosa,,,,Washington,Jesara Schroeder,"Colville National Forest, Along North Trout Fork Road",sunny path in woods,48.88333,-118.76667,GeoLocate,,,,,,1079,10-Jul-99,,1.32,1.8,,0.29,0.52,0,2.09,0.67,1.18,3,,,,,,,,
20931,WTU,formosa,,,,Washington,J. William Thompson,"Jefferson Co., banks of Dosewallops River",moist woods,47.73075,-123.13168,GeoLocate,,,,,,122,30-May-33,,1.48,2.08,,0.28,0.29,0,2.15,0.93,1.02,3,,,,,,,,
336900,WTU,formosa,,putative hybrid,,Washington,Peter Wimberger,"Okanogan County, Pasayten Wilderness, Iron Gate Trail to Horseshoe Basin",,48.72917,-120.4375,GeoLocate,,,,,,1575,21-Jul-96,,2.21,1.61,,0.42,0.7,0,2.91,0.89,0.82,2,,,,,,,,
27556,WTU,formosa,,,,Washington,I. C. Otis,Ferry Co.,,48.86638,-118.20354,GeoLocate,,,,,,441,11-Jun-11,,1.66,1.84,,0.35,0.37,0,2.34,0.78,1.15,3,,,,,,,,
15566,WTU,flavescens,,,,Washington,J. William Thompson,"Chelan Co., wooded base of Tree Brothers",,47.43891,-120.74198,GeoLocate,,,,,,762,2-Jun-34,,1.75,1.84,,0.36,0.56,0,2.4,0.58,1.08,1,,,,,,,,
371564,WTU,flavescens,,putative hybrid,,Washington,Don Knoke,"Kttitas County, Summit of Lion Rock on west side of Table Mountain",dry subalpine rocky slopes,47.252315,-120.585633,label,,,,,,1944,7-Jul-07,,1.71,1.77,,0.45,0.66,0,2.4,0.94,1.13,1,,,,,,,,
363193,WTU,flavescens,,,,Washington,Alan C. Yen,"Okanogan County, Tiffany Lake",lakeshore meadows,48.692054,-119.941003,label,,,,,,1981,26-Jul-03,,1.9,1.81,,0.47,0.53,0,1.83,0.6,0.94,0,,,,,,,,
373676,WTU,flavescens,,putative hybrid,,Washington,Ryan Miller,"Kittitas County, Wenatchee National Forest, Forest Service Road Number 9716","dry slope with large rocks, seasonally moist",47.304757,-120.597361,label,,,,,,1514,8-Jul-06,,1.99,2.04,,0.29,0.62,0,2.37,0.8,1.12,1,,,,,,,,
191612,WTU,flavescens,,,,Washington,C. Leo Hitchcock,"Okanogan Co., n.e. face of Rock Mt., 16 miles n.w. of Concully in R23E, T37N, Sect. 23",lower edge of large granitic rock slide,48.692832,-119.91817,GeoLocate,,,,,,2355,1-Jul-58,,1.98,1.37,,0.55,0.59,0,2.16,0.85,0.55,0,,,,,,,,
359665,WTU,flavescens,,putative hybrid,,Washington,J. William Thompson,"Chelan Co., crest of Wenatchee Ridge, Wenatchee Mts.",,47.42361,-120.30917,GeoLocate,,,,,,1981,4-Jul-40,,1.4,1.89,,0.46,0.61,1,1.6,0.56,1.12,0,,,,,,,,
89256,WTU,flavescens,,,,Washington,Harold St. John,"Okanogan County, Colville National Forest, banks of Petijohn Creek",,48.76235,-119.06855,GeoLocate,,,,,,1978,10-Jul-21,,1.69,1.31,,0.5,0.56,0,1.64,0.58,0.65,0,,,,,,,,
20775,WTU,flavescens,,,,Washington,J. William Thompson,"Chelan Co., near Leavenworth, along Snow Creek",rocky granitic slopes,47.541613,-120.71201,GeoLocate,,,,,,914,23-May-31,,1.87,1.97,,0.44,0.68,0,2.53,1,0.92,0,,,,,,,,
281012,WTU,flavescens,,,,Washington,A. R. Kruckeberg,"Okanogan Co., at Cold Creek Camp, SE. slope of Mt. Chopaka",open woods,48.95759,-119.78523,GeoLocate,,,,,,1829,22-Jul-78,,1.94,1.41,,0.52,0.69,0,2.47,0.86,0.67,0,,,,,,,,
322496,WTU,flavescens,,,,Washington,G. Garrison,"Chelan Co., Wenatchee National Forest, Mission Peak",open forest,47.295,-120.44055,GeoLocate,,,,,,1846,2-Jul-56,,1.73,1.39,,0.5,0.77,0,2.06,1.01,0.91,0,,,,,,,,
126258,WTU,flavescens,,,,Washington,,"Ferry Co., east side of range ca 20 miles east of republic",,48.647499,-118.29857,GeoLocate,,,,,,1232,21-Jun-48,,2.09,1.6,,0.65,0.91,0,2.04,0.93,0.58,0,,,,,,,,
V132517,V,flavescens,,putative hybrid,,British Columbia,Hans L. Roemer,Mt. Tatlow,krummholz,51.4166667,-123.8833333,unknown,,,,,,1900,Jul-81,,1.62,1.6,,0.42,0.5,0,1.95,0.6,1.02,1,,,,,,,,
9675,WS,flavescens,,putative hybrid,,Washington,A. D. E. Elmer,"Kittitas County, Wenatchee Mountains",,47.42361,-120.30917,CPNWH,,,,,,197,1897,,1.87,20.60,,0.41,0.70,0,2.00,0.91,0.79,2,,,,,,,,
75576,WS,flavescens,,,,Washington,Chas. B. Fiker,Okanogan Co.,"Barnhard Trail, west of Salmon Meadows. ",48.65556,-119.83806,CPNWH,,,,,,1362,Jul-32,,2.31,1.69,,0.64,0.70,0,2.49,1.11,0.54,0,,,,,,,,
129338,WS,flavescens,,,,Washington,Harold St. John,"Colville National Forest, Okanogan Co.",banks of creek,48.78559,-119.08584,estimated,,,,,,5490,10-Jul-21,,2.33,1.83,,0.64,0.85,0,2.34,0.74,0.67,0,,,,,,,,
153084,WS,flavescens,,,,Washington,J. William Thompson,"Kittitas Co., alpine slopes of Table Mt., Wenatchee Mts.",alpine slopes,47.243457,-120.559518,specimen Label,,,,,,1890,1-Jul-40,,1.54,1.73,,0.49,0.48,0,1.93,0.70,0.87,0,,,,,,,,
201682,WS,flavescens,,,,Idaho,Quentin Jones,"Idaho Co., Cayuse Junction; Sec. 31, T38N, R13E.",Growing under spruce-hemlock in moist saddle. ,46.59917,-114.8531,GeoLocate,,,,,,5428,27-Jul-50,,2.00,1.87,,0.52,0.71,0,2.72,0.79,0.84,0,,,,,,,,
229625,WS,flavescens,,,,Washington,R. Daubenmire,"Pend Oreille Co., North Baldy",,48.54547,-117.155222,estimated,,,,,,1870,25-Jul-57,,2.26,1.65,,0.72,0.83,0,2.31,0.78,0.64,0,,,,,,,,
236488,WS,flavescens,,,,Washington,C. Leo Hitchcock,"Okanogan Co., near Spur Creek, 13 miles up Big Boulder Creek, in R23E, T36N",sandy soil,48.63417,-119.97917,CPNWH,,,,,,1616,1-Jul-58,,1.71,1.54,,0.53,0.71,0,1.95,0.79,0.91,4,,,,,,,,
